session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k2241a3,k228334,k22242c,k2241b6,k2241b4,k222414,ke16f08,ke3f60e,k222885,k15b,k221942,k22c218,kea5b10,k22000d
1524876248474,1524876380559,-121.9579979,38.36067281,56.339996,178.9,60.566666,31.37255,0.0,0.0,0.0,29.1,9.967623,281.54163,342.53,34.901962,3402.125,3.576126,1.56,35.40373
1524876248474,1524876381559,-121.95798055,38.36053644,55.944,175.3,60.566666,31.37255,0.0,0.0,0.0,28.5,9.761536,270.96677,342.51,34.901962,3442.375,3.5755157,1.56,36.024845
1524876248474,1524876382559,-121.95800052,38.36039427,56.592,178.7,60.566666,31.37255,0.0,0.0,0.0,-26.95,1.9664428,54.585743,344.99,34.901962,3434.125,3.577423,1.56,36.024845
1524876248474,1524876383560,-121.95800511,38.36025279,57.06,179.8,60.566666,31.37255,0.0,0.0,0.0,-26.95,-9.310686,-267.68225,345.48,34.901962,3359.25,3.6086273,1.56,34.782608
1524876248474,1524876384559,-121.95801575,38.36011638,56.16,178.2,60.566666,31.37255,0.0,0.0,0.0,-1.75,-0.60373247,-17.35731,344.99,34.901962,3320.375,3.5923767,1.56,34.782608
1524876248474,1524876385560,-121.95803469,38.35997154,56.304,181.1,60.566666,31.37255,0.0,0.0,0.0,6.0,2.0628,59.305496,343.8,34.901962,3293.0,3.591156,1.56,34.782608
1524876248474,1524876386559,-121.95804181,38.35983268,55.872,178.8,60.566666,31.37255,0.0,0.0,0.0,14.4,4.9479837,142.25453,343.61,34.901962,3298.375,3.5855103,1.56,34.782608
1524876248474,1524876387561,-121.95803808,38.35969202,55.62,177.8,60.566666,31.37255,0.0,0.0,0.0,13.2,4.535916,130.40758,343.63,34.901962,3292.375,3.5855103,1.56,34.782608
1524876248474,1524876388560,-121.95803405,38.35954904,55.548,179.1,60.566666,31.37255,0.0,0.0,0.0,-9.85,-3.399826,-99.52219,345.16,34.901962,3242.625,3.5855103,1.56,34.16149
1524876248474,1524876389559,-121.95801982,38.35939799,55.763996,177.3,60.566666,31.37255,0.0,0.0,0.0,-10.75,-3.722295,-110.97954,346.26,34.901962,3242.625,3.5968018,1.56,33.54037
1524876248474,1524876390560,-121.95801501,38.35925535,55.116,177.9,60.566666,31.37255,0.0,0.0,0.0,-10.75,-3.722295,-113.073494,346.26,34.901962,3139.375,3.5980225,1.56,32.919254
1524876248474,1524876391559,-121.95804081,38.359126,53.46,179.3,60.566666,31.37255,0.0,0.0,0.0,5.1,1.756389,54.38051,344.39,34.901962,3108.0,3.5917664,1.56,32.298138
1524876248474,1524876392560,-121.95804416,38.35899037,52.308,181.4,60.566666,31.37255,0.0,0.0,0.0,10.5,3.608115,111.71279,343.63,34.901962,3100.375,3.5874176,1.56,32.298138
